gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.95	0.999695715077442	8	0.149780846160752	4	0.000128617474540506	0.844139513708357
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	0.95	1.00317950597558	3	0.190977816884649	1	0.0064038217752963	0.164699284249201
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.95	0.996556425934229	7	0.167046306855207	4	0.00130060713183229	0.53172835278622
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	0.95	1.00985574238878	7	0.154635304097976	6	0.0011990375912006	0.548213398574449
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	0.95	0.98395063728603	8	0.176465569809474	4	0.0149317455551425	0.0334843529346256
WDR37	0.95	0.993609110301688	8	0.143678366126591	12	0.00391168282086709	0.277810858123278
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	0.95	1.00183686765604	5	0.177168296723947	1	0.000973096313126827	0.588585786401874
PITRM1	0.95	0.999883454245818	5	0.223673905410922	1	5.27886819528879e-05	0.899771386570478
KLF6	0.95	0.996478542719099	13	0.128794322769969	21	0.00809535501072363	0.118083345098233
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	0.95	0.96952990932502	19	0.0912284504361077	55	0.0380372610092697	0.000640874645054201
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	0.95	0.99277783142652	10	0.165916795868074	6	0.0053594866535988	0.203809915395999
TUBAL3	0.95	0.998358755692653	5	0.176339719636104	4	3.40677143116065e-05	0.919407006648421
NET1	0.95	0.991618241160071	7	0.188636540651421	1	0.00523204063685348	0.209285941658899
CALML5	0.95	1.00089510136672	2	0.197964185183219	1	0.00462074570559119	0.238108970424844
CALML3	0.95	0.964169419180363	19	0.115560160790956	26	0.0336708268372847	0.0013357839302557
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.95	0.957423973082601	21	0.0860773983157039	59	0.0553899853644346	3.50246330227235e-05
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.95	0.989611233457553	11	0.134169756203564	17	0.00998626686250587	0.0824483270719892
DKFZP667F0711	0.95	0.988180796876708	11	0.138779426093105	15	0.0104519376676487	0.0755860064811411
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.95	0.989341240613556	11	0.133588874577278	20	0.00956581815413458	0.0892209785338224
KIN	0.95	0.997378439365807	7	0.148786977014449	10	0.00224201541936802	0.411492926436174
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	0.95	1.00127324875473	7	0.161683456408879	6	0.00014072368728181	0.837067013761726
GATA3	0.95	0.999021508637148	8	0.162005180004563	5	0.000762371175259287	0.632132327379771
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.95	1.00226469360812	3	0.21493063260258	1	0.00374280717918523	0.288453423557947
ECHDC3	0.95	1.00289456113914	6	0.172769007573184	3	0.000400916226581856	0.728493202608978
PROSER2	0.95	1.00612977505653	2	0.201435267904998	1	0.0241069799369689	0.00677026442420272
UPF2	0.95	1.01089465498798	9	0.138125781181782	12	7.09734515664414e-05	0.883888116303351
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	0.95	0.998512200681006	6	0.169843566510804	3	0.000451586022820616	0.712560947261063
CAMK1D	0.95	0.989310924390095	9	0.163452452885918	3	0.00747986835891329	0.133084186241905
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	0.95	0.996890761550263	8	0.162942871815221	10	0.00312557374931293	0.332095954110453
MCM10	0.95	0.975597358122611	13	0.109407421191657	34	0.0229158141426941	0.00830561808205747
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	0.95	0.988855531231124	7	0.171595113343688	4	0.00794571392340263	0.121550348475248
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	0.95	1.00031024539878	2	0.186780404663707	2	0.00318619331386238	0.327443646182623
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	0.95	0.9924036836638	15	0.108662689243846	27	0.0120525102558978	0.0562785745372668
ITGA8	0.95	0.997728895531809	3	0.210772170504778	1	1.35650309115652e-06	0.983891925223946
FAM188A	0.95	0.998052094665798	9	0.144809378878548	7	0.00212410625511394	0.424082619515489
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	0.95	0.996108460237387	8	0.157304680850363	10	0.00253083845035625	0.382865046042639
RSU1	0.95	1.00574987750192	8	0.151524615320098	6	0.000578102845468516	0.676782450551493
CUBN	0.95	0.954742757163652	15	0.107968065940146	27	0.0422893902546196	0.000314065468820939
TRDMT1	0.95	0.997953711869588	6	0.16152719120022	2	0.00023669274818695	0.789691780618705
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	0.95	1.0153272584746	6	0.156459797030824	10	0.00473310156025272	0.232471329544363
PTPLA	0.95	1.0000377930206	8	0.154645402420965	5	0.000462784007465965	0.709178391510207
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	0.95	0.995272565376469	6	0.179584074873146	2	0.00167207345131175	0.478237651841294
MRC1L1	NA	NA	NA	NA	0	NA	NA
TMEM236	0.95	0.979971447656923	17	0.122053348549945	16	0.0198726113282582	0.0140497638581559
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	0.95	1.00124830950911	2	0.182768685092105	1	0.00708411330495153	0.143843107113234
CACNB2	0.95	0.98248412044282	14	0.133936241568153	8	0.0150680037925392	0.0326810331124311
NSUN6	NA	NA	NA	NA	0	NA	NA
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	NA	NA	NA	NA	0	NA	NA
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	0.95	0.986348755645627	10	0.153331102488109	5	0.0104522950407758	0.0755809812491235
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	0.95	0.990521182416294	8	0.147447180347268	3	0.00623647131161334	0.170341872917917
EBLN1	0.95	1.00055481729972	15	0.108114792508203	20	0.00688434133734645	0.14964132903915
COMMD3	0.95	1.00595447927607	4	0.177276163190782	3	0.00329309713834801	0.319446701025535
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	0.95	0.997677773866581	8	0.141622062361916	3	0.0015050586903142	0.501097374858049
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	0.95	0.99767076331659	8	0.146472535693796	4	0.00118732490083143	0.550175049688328
KIAA1217	NA	NA	NA	NA	0	NA	NA
AL353583.1	NA	NA	NA	NA	0	NA	NA
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	NA	NA	NA	NA	0	NA	NA
ENKUR	NA	NA	NA	NA	0	NA	NA
THNSL1	0.95	1.00543006716368	10	0.143462246325226	10	0.00018473121197238	0.813727303806739
GPR158	0.95	0.970903383680981	16	0.110833219935574	28	0.0273886636285069	0.0038671894876352
MYO3A	NA	NA	NA	NA	0	NA	NA
GAD2	NA	NA	NA	NA	0	NA	NA
APBB1IP	NA	NA	NA	NA	0	NA	NA
PDSS1	NA	NA	NA	NA	0	NA	NA
ABI1	0.95	1.00794855621667	7	0.15687361423669	8	0.00221641842937064	0.41417858130171
ANKRD26	NA	NA	NA	NA	0	NA	NA
YME1L1	NA	NA	NA	NA	0	NA	NA
MASTL	NA	NA	NA	NA	0	NA	NA
ACBD5	0.95	0.999032032980674	8	0.163723764201654	3	0.000763305476610424	0.631923611434495
PTCHD3	NA	NA	NA	NA	0	NA	NA
RAB18	0.95	0.983283139514105	12	0.121448170288938	11	0.0137483296822931	0.0413881928288873
MKX	0.95	1.00481824854982	18	0.0996888685244025	34	0.0117089165484564	0.0599306976769163
ARMC4	NA	NA	NA	NA	0	NA	NA
MPP7	0.95	0.997910871307953	9	0.170812924911917	3	0.00154540369702485	0.49541063607336
WAC	0.95	0.992103252760805	8	0.153886376372604	9	0.00523812114247443	0.209020774576361
BAMBI	NA	NA	NA	NA	0	NA	NA
C10orf126	0.95	0.99998522287635	12	0.123285668927381	20	0.00571126287676947	0.189544063747841
LYZL1	NA	NA	NA	NA	0	NA	NA
SVIL	0.95	0.98006307612619	17	0.102312537374467	37	0.0245066396727533	0.00632246580045326
KIAA1462	NA	NA	NA	NA	0	NA	NA
MTPAP	0.95	0.995337826280886	12	0.140684843589504	13	0.00683074082496733	0.151241428930058
MAP3K8	NA	NA	NA	NA	0	NA	NA
LYZL2	0.95	1.00091405455973	6	0.166148469803076	5	1.24501507031624e-05	0.951226882051951
