gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	1.00311223723189	19	0.095020291647958	17	0.00400837693842513	0.275964245982394
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	1	0.991200135312301	10	0.123361967290649	8	0.00685677624312565	0.153900257240875
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	1	0.989210721358147	12	0.137702599493204	16	0.0116047386983864	0.0632799545803125
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	1.00808121749929	3	0.190310927940829	5	0.00369486632746949	0.29561815389825
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	1.00551379812391	2	0.201888173590522	1	0.0158778434431534	0.0296483333329783
KLF6	1	1.00299552581923	7	0.16684453627479	5	1.54700349960203e-07	0.994605372388272
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	1	1.00381795439457	8	0.126144793453614	14	0.000480538599982242	0.706267750644479
AKR1CL1	1	1.00312350843926	4	0.165488743929496	3	0.000992038787184388	0.588117714561355
AKR1C4	1	1.00430472523214	3	0.19784848928122	2	0.00808265847100639	0.121479883414132
UCN3	1	0.993898164321516	6	0.163332462510101	2	0.00290376137844268	0.353931494050268
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	1	0.99688734401907	6	0.141902632662817	8	0.00177015318793605	0.469333535030994
CALML5	1	0.985577827970849	11	0.12632123493285	14	0.0122356037348121	0.0564769702758287
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	1	1.00068014348267	3	0.190056086605694	1	0.00165662200549878	0.483954716505643
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	1	1.01178899647129	6	0.167513029111882	4	0.00367836610084023	0.296701014123791
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	1	0.972127882553674	12	0.127101097159165	19	0.0246328221422259	0.00663140543328446
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	1	0.99117677411356	8	0.169969728025764	3	0.00548812787132767	0.202227799239338
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	1	1.00000958775223	5	0.167304868953909	2	0.000169420474094968	0.822944879041945
ATP5C1	1	0.984336193832905	10	0.149739633422002	6	0.0124620114926396	0.0542277492041986
TAF3	1	0.986341697864132	19	0.103771877411823	37	0.0198743991754869	0.0148678918611204
GATA3	1	1.00587793775085	2	0.220322679306021	1	0.0145834986200664	0.0372013250893728
CELF2	1	0.99976593627708	4	0.178102711462473	2	0.000472345089854287	0.70866788012127
USP6NL	1	0.996735085402503	7	0.160081576751369	5	0.00133904569274017	0.529186314904108
ECHDC3	1	0.996096114688096	6	0.159396811544332	3	0.00130481660143393	0.534501793449586
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	1	0.992791901802786	8	0.148260737943505	6	0.00394639211688339	0.279716181759448
CDC123	1	0.983713060655361	16	0.108834678317089	40	0.0193871815662463	0.0161616727772598
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	1	0.999616895944891	9	0.158061594145425	4	0.000944407001869531	0.597223045609829
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	1	0.97275447582126	18	0.109950797512443	28	0.0258161173781658	0.00543437945632992
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	1	0.999714662555859	5	0.173397603177045	1	9.10660324395373e-05	0.869694483548599
CDNF	1	0.999623994967543	3	0.192132071808743	1	0.00121942025835218	0.548195864342968
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	1	1.00241956698609	3	0.179795737358345	1	0.00677969305039631	0.156242024046902
