gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.95	1.00019457058718	11	0.136520240445264	9	0.000851790741720335	0.623676603157706
ZMYND11	0.95	1.0060135412306	10	0.138819866951572	8	9.8013825867405e-06	0.958034347532901
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	0.95	0.99791952663301	5	0.187250764837893	8	0.000285726085744648	0.776311531440017
LARP4B	0.95	0.972612462500043	23	0.090391662468629	47	0.046257840563286	0.000254341252578212
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.95	1.0126060421572	12	0.147246033312003	15	0.00250898175805458	0.39955027101099
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.95	0.998086560296873	12	0.160919389233619	10	0.00382342816595337	0.298207948937472
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.95	0.978574405865018	13	0.14236969493769	17	0.018733484322392	0.0208124266321625
AKR1C1	0.95	0.991031834346437	7	0.190545940482977	6	0.00547871394921509	0.212841058464423
AKR1C2	0.95	0.954317327000663	18	0.138372507994083	14	0.0433137568041184	0.0004049651884104
AKR1C3	0.95	1.00374661415162	6	0.186050947978938	4	1.43780630133451e-05	0.949183183503268
AKR1CL1	0.95	0.999761898766501	12	0.142327949505673	22	0.00383900691037361	0.297223800706797
AKR1C4	0.95	0.910879275043308	26	0.0836913887689894	66	0.0889458225400874	2.89862112586288e-07
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	0.95	0.98704822255773	11	0.143533970747295	17	0.0111876923591144	0.0746202376339573
CALML5	0.95	0.983322844917465	8	0.17565712049566	5	0.0153826635863227	0.0363760226350862
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.95	1.00315043312812	4	0.1819283999453	2	0.000841243332828547	0.625834720601965
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	0.95	0.986535949872879	6	0.216192622918621	2	0.0125137238034742	0.0592789437820465
IL2RA	0.95	0.971382771003631	31	0.0566203673284361	108	0.0590816965229502	3.35704283272906e-05
RBM17	0.95	1.00167865430009	7	0.169552218276453	5	0.000224875387705352	0.800994228856379
PFKFB3	0.95	0.965193179017811	12	0.156376425801483	10	0.0319764692918093	0.00244541319105798
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	0.95	1.00497201712434	3	0.218354661867813	1	0.0123331903973435	0.0611542407965657
PRKCQ	0.95	0.997460023291347	7	0.166803342165992	9	0.00185192560050778	0.469286722479141
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	0.95	0.984764487577671	13	0.151473090005194	15	0.0130684644656615	0.0538872050592978
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	0.95	0.946919514906395	24	0.0955796107974154	44	0.0527102517083159	9.18332627096417e-05
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	0.95	0.987407186703379	10	0.159927691063836	10	0.00926612735838337	0.104868844166505
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	0.95	0.987849531048057	13	0.118653371364897	30	0.0128914679571705	0.0555489568817365
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	0.95	1.00403765736176	10	0.141495515559672	16	0.0014381645689582	0.523713220849653
AL138764.1	0.95	0.98498670724688	8	0.185673771254364	4	0.0121313354093871	0.0633256285548756
SEPHS1	0.95	0.988515732107741	8	0.18126839177324	4	0.00806555147597964	0.130397736430184
BEND7	0.95	0.991170181980898	5	0.227334670466318	4	0.00547077195314007	0.213173863431869
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	0.95	0.996034815935082	7	0.167268222182752	5	0.0017560878692672	0.481027981325486
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
