gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	0.05	0.999369118508056	2	4.45306197353678	1	0.0169318988611637	0.0735510211742455
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	0.05	1.00195498312985	7	3.50518971917742	31	0.00262875565256283	0.482351223651917
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	0.05	0.982542030654814	11	3.35790759543025	29	0.012963381649719	0.117784091829136
IDI1	0.05	0.971876060523263	15	2.68643513181521	56	0.0245521201832496	0.030854850216285
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.05	1.00036615373093	5	4.40605262157675	5	0.00670326013783957	0.261443148682521
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	0.05	1.00503018289429	7	3.82850662999837	20	0.00230437444001078	0.510730302268685
UCN3	0.05	1.0017270517907	6	3.87564504306194	16	0.00243938113059337	0.498586130096106
TUBAL3	0.05	0.988312160198773	16	2.49444383412536	96	0.0100298139864173	0.169191139322612
NET1	0.05	1.00039527697865	16	3.01934222235	48	0.00142766920641446	0.604757255190393
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.05	1.00486285570767	3	4.62596555616452	2	0.0317057635732463	0.0139759498382375
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	0.05	0.975274865820722	14	2.99861764710205	63	0.0197330222627968	0.053221048691241
FBXO18	0.05	0.923221628779431	33	1.22474777269713	310	0.0784319102091166	9.09876285123166e-05
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.05	0.955991345346017	16	2.59225206446685	111	0.0396512699272585	0.00588194028896557
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.05	1.00298867624182	2	4.85781034895611	1	0.0322932672368235	0.0131042656703468
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	0.05	1.014954447061	3	4.41379277538644	2	0.0716071198395625	0.000189586218196148
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.05	0.973596891875091	14	3.4151422784509	35	0.0230366640243986	0.036578232790159
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	0.05	1.00685260448382	5	4.07690264372912	4	0.0267658637324926	0.024105373640267
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.05	0.999620509192862	3	4.44303969015409	4	0.00707043213073874	0.248730207450765
ECHDC3	0.05	0.993071515695271	10	3.63256566779796	23	0.00215849831070793	0.524437662330555
PROSER2	0.05	0.992464571365738	30	1.3965210553425	223	0.0243441768102406	0.0315818392943352
UPF2	0.05	0.989679133005674	12	3.32322019251289	19	0.00510235333726732	0.327402445523731
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	0.05	0.99362362090935	11	3.68279237288609	11	0.00156525334184972	0.587848962732535
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	0.05	0.987909940506499	11	3.64183835476235	30	0.00699217848413956	0.251375105729152
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	0.05	1.01168926261031	5	4.12648542465389	5	0.0305650297794452	0.015841218207971
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	0.05	0.977936337398671	24	2.00746632622989	172	0.0200735602306191	0.0511879531032493
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	0.05	1.00237497061229	5	3.97864578036184	10	0.00605830110254256	0.285780855680597
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	0.05	1.00453675998766	8	3.79563022741345	27	0.000763745206083183	0.705063881079023
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	0.05	1.00625742486914	8	3.50956603785977	17	0.00908579384491989	0.190806119901957
CDNF	0.05	0.993795864224223	18	2.46968362264254	82	0.00614763073413646	0.282245829652618
HSPA14	0.05	0.995019579510481	12	2.87628450332622	30	0.00148541325572937	0.597539347293922
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	0.05	0.98779553390035	11	3.30924701607136	20	0.00704799480265442	0.249485084767213
OLAH	0.05	1.01717062381401	5	5.14367472586144	1	0.0878965374390467	3.27566363698986e-05
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	0.05	1.00443459367845	5	5.07516212985749	1	0.032223240477231	0.0132051880484805
PTER	0.05	1.00964664925197	6	4.07789626070343	2	0.0520366481188548	0.00154845363057521
C1QL3	0.05	0.997578870644321	18	2.44938653008979	76	0.004886649382646	0.337869911982437
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	NA	NA	NA	NA	0	NA	NA
TRDMT1	NA	NA	NA	NA	0	NA	NA
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	0.05	1.0049477923681	5	3.92580361814087	8	0.0100869732585538	0.167975160312047
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	0.05	1.00449660342015	6	3.91555421492022	7	0.0108141238431203	0.15334027205374
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1L1	NA	NA	NA	NA	0	NA	NA
TMEM236	0.05	1.00091961769527	9	3.91877813020569	13	0.000891263103150579	0.682624029865536
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	0.05	0.946087441316773	19	2.259991549331	144	0.0490860880721533	0.00212611505795687
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	0.05	0.99974845963713	5	4.91174827481049	1	0.00935620869323855	0.184305850794394
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	0.05	0.971413556131048	16	2.51242347348617	90	0.0237887661601084	0.0336117696171946
NEBL	0.05	1.01233693185882	6	3.59928379392726	7	0.0295539705629623	0.0177064528466841
C10orf113	0.05	1.00156593729058	2	4.94558939496164	1	0.0286908168006112	0.0194759984311706
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	0.05	0.97345846704632	29	1.38289222475518	150	0.0286766975765397	0.0195064034237889
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	0.05	0.993349939418447	16	2.31226877434305	57	0.00498979081848905	0.332810210719165
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	0.05	1.00590770553377	7	4.57558070925084	1	0.024557852027919	0.0308350579370791
SPAG6	0.05	1.00388201884929	13	2.57652048532604	31	6.94234882159268e-05	0.909163412049192
PIP4K2A	0.05	1.00006511425623	8	3.81792323106113	2	0.00419136929205856	0.374845967377484
ARMC3	0.05	0.999402940426967	9	3.54319107640128	9	2.95810722354076e-05	0.940632287653873
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	0.05	0.974884279137445	15	2.92747317144429	42	0.0199694463903903	0.0518007456039237
KIAA1217	0.05	1.0007222966228	7	4.47187865527359	19	0.000715502566409069	0.714111128951013
AL353583.1	0.05	1.00151335375907	25	1.68157291272248	146	0.00896602802341839	0.193769586400569
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	0.05	0.994215406965412	18	2.88252666330035	71	0.00446519572811919	0.359653500945397
ENKUR	NA	NA	NA	NA	0	NA	NA
THNSL1	NA	NA	NA	NA	0	NA	NA
GPR158	0.05	0.997942524998654	8	3.45719091587876	47	0.000205364393748461	0.844422761296099
MYO3A	0.05	0.989723974334137	14	2.66292762461905	57	0.00634590147875492	0.274593765639975
