gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	1.00023312320842	11	0.129694228423	8	0.000848565207216695	0.624334818629582
ZMYND11	1	1.00607333976115	10	0.131878873603994	8	1.00696742718938e-05	0.957464399810345
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	1	0.997958424300744	5	0.177888226595998	5	0.000282130151454039	0.777686529805484
LARP4B	1	0.972958240441315	23	0.0858720793451975	46	0.0463292304753411	0.000251489789991409
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	1.01286572828404	12	0.139883731646402	15	0.00250354320304655	0.40006227101323
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	0.998064109291317	12	0.152873419771938	10	0.00388988332774441	0.294038586759714
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.978480549883654	13	0.135251210190805	16	0.0188520725998146	0.0204089141737198
AKR1C1	1	0.991090982610991	7	0.181018643458828	4	0.00542035410411893	0.215301014780687
AKR1C2	1	0.953973872822222	18	0.131453882594379	12	0.0436413986725048	0.000384528779928148
AKR1C3	1	1.00379708677612	6	0.176748400579991	4	1.15694154399305e-05	0.954409949810235
AKR1CL1	1	0.999927783114521	12	0.135211552030389	20	0.00382955815210438	0.297820205483366
AKR1C4	1	0.910600160315588	26	0.0795068193305399	65	0.0892908211608758	2.74240904975167e-07
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	1	0.98787106992685	11	0.136357272209931	17	0.0106920022370448	0.0813980423767679
CALML5	1	0.983240234126647	8	0.166874264470877	5	0.0154216502328218	0.0361381095736542
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	1.00318105119741	4	0.172831979948035	2	0.000817071600644592	0.630844373147259
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	1	0.98645396442708	6	0.20538299177269	2	0.012596660651222	0.0584379114972696
IL2RA	1	0.971755239997365	31	0.0537893489620143	107	0.0591753608121672	3.30771338270159e-05
RBM17	1	1.00167804623948	7	0.161074607362631	5	0.000238932213257065	0.795002487756436
PFKFB3	1	0.964977982314179	12	0.148557604511409	10	0.0321694020669187	0.00237133951328148
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	1	1.00496312925505	3	0.207436928774422	1	0.0121531176482302	0.0630874297689455
PRKCQ	1	0.997529789356804	7	0.158463175057693	9	0.00185535545657938	0.468875125910568
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	1	0.984710157831791	13	0.143899435504934	15	0.0131622536042381	0.053027963029948
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	1	0.946997478437961	24	0.0908006302575446	44	0.0527223070090567	9.16586500399803e-05
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	1	0.987315339085598	10	0.151931306510644	10	0.00936384994118502	0.103045865004156
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	1	0.987907188637862	13	0.112720702796653	30	0.0129186038633553	0.0552907217231539
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	1	1.00380590630171	10	0.134420739781688	15	0.0015392792956192	0.50945701562392
AL138764.1	1	0.984873912352535	8	0.176390082691646	4	0.0122353088443381	0.0621971478308543
SEPHS1	1	0.988400125212355	8	0.172204972184578	3	0.00817854392499313	0.127724546538367
BEND7	1	0.991151385270608	5	0.215967936943002	4	0.00548299745229606	0.212661815632755
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	1	0.996044792817464	7	0.158904811073615	5	0.00177371853518468	0.478832432261736
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	1	0.999583475670284	11	0.123213974501139	16	0.00475287118257478	0.245997899262878
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	1	1.00543184811419	7	0.170988627665648	2	0.000947169855283703	0.604876972760196
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	1	1.00495427016237	11	0.153296453360557	4	0.000209798364340689	0.807646556467535
C1QL3	1	0.984122099247397	25	0.0678914653010301	74	0.0404817361087924	0.000633762131092561
RSU1	1	0.973269291378156	15	0.117200573759913	25	0.0258905573463192	0.00648453004057584
CUBN	1	1.00216889658587	3	0.188454126267566	1	0.00571319179436054	0.203285893662983
TRDMT1	NA	NA	NA	NA	0	NA	NA
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	NA	NA	NA	NA	0	NA	NA
