gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	1	0.99913512143985	2	0.222653098676839	1	0.00344010745377128	0.421497931060025
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	1	0.98097914899799	9	0.184264972031223	10	0.0142549912180021	0.100849200969913
IDI1	1	0.999786443032181	16	0.128216625449817	20	0.00766712342032313	0.229633082181902
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	1.00245051807964	4	0.2307925066992	2	0.00137302368208865	0.611760096416026
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	1	1.00730173857575	5	0.21008906500526	5	0.00112432985439946	0.646038476742944
UCN3	1	1.00407932567847	6	0.193782252153097	7	4.82060638429952e-06	0.976015680066285
TUBAL3	1	0.99428181570155	15	0.130660932753939	29	0.0135231071650034	0.110092010416902
NET1	1	1.0029709843666	7	0.229456585348875	4	1.62271615358775e-06	0.986083151391192
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	1	0.971435587807749	13	0.15706995418486	16	0.0258009508110943	0.0268376170187562
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	1	0.960615409287473	12	0.156118839444673	20	0.0358309899868544	0.00890537049153059
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	0.999422581589985	4	0.22131279331206	1	0.00103752467573701	0.65908448855932
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	1	1.01674057840469	6	0.191944593207697	5	0.00238652197484507	0.503281727926163
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	0.972513324174568	9	0.215471039535652	2	0.0267084693740879	0.0242595886810222
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	1	0.995721674526923	7	0.208828389389617	4	0.00198342277380861	0.541773557180984
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	1	0.973866153842559	11	0.17407289118326	5	0.0209909254544814	0.0461057468931919
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	1	0.966399232521876	10	0.192907565204455	3	0.0312793608072249	0.0146454417394496
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	1	1.00404122463059	5	0.206324271232694	3	0.000563206135027136	0.745173750391172
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	1	0.94408875358861	28	0.0833316905734705	64	0.0663872048597547	0.000332063916958511
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	1	0.990348629618227	6	0.189890509462426	8	0.00621223265265978	0.27972356750575
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	1	1.01144510327329	6	0.208284974442719	6	0.00141299387443499	0.60662105465402
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	1	1.00602671247786	6	0.192587219698373	3	0.000403477037406589	0.78325689941202
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	1	0.997327946579817	6	0.190113941982105	4	0.000395275255688299	0.785417133714781
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	1	1.0015451967094	14	0.12721000967732	25	0.00675744715463477	0.259517681598362
MEIG1	1	0.959928036939143	11	0.165462350803568	8	0.0350528251364925	0.00969314483726172
OLAH	1	0.999886088003173	15	0.161518881802034	13	0.00544010903329886	0.311853410697865
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	1	1.00478866336763	7	0.194627479104076	2	0.000334518771798993	0.802227344589869
C1QL3	1	1.00040891023502	2	0.257786192934896	2	0.000226181324259119	0.836832726530784
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	NA	NA	NA	NA	0	NA	NA
TRDMT1	NA	NA	NA	NA	0	NA	NA
VIM	1	1.01444325286909	2	0.222366055093342	2	0.0143470848994286	0.0997472043094144
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1L1	NA	NA	NA	NA	0	NA	NA
TMEM236	1	0.99765920174424	5	0.236009106566072	1	0.000477928375619984	0.764643832543091
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	1	0.956164311698606	14	0.142589294609718	18	0.0396887060945085	0.00585814018959459
CACNB2	1	1.01291471043054	5	0.211889128904361	1	0.00742234794773694	0.237245312532255
NSUN6	1	0.986284969835898	6	0.234425086761589	1	0.00906023007545067	0.191434228915679
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	1	0.972695180338433	16	0.125621173674308	31	0.0308807953915434	0.0153008028895718
NEBL	1	1.01207225266145	5	0.188533320063937	2	0.011397224494153	0.142638265831142
C10orf113	1	0.997984967876847	8	0.187057850521578	1	3.01032652123695e-05	0.940111541397987
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	1	0.995697408925044	11	0.159733020021051	9	0.00503568596146134	0.330591134170354
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	1	0.998292603596507	5	0.192854839231628	4	3.33120817419625e-06	0.980061269208116
COMMD3	1	4.34239936459406	99	0.00251441807368486	203	0.0011418835216478	0.643474841315452
BMI1	1	0.998029792421684	10	0.198980337913404	1	0.00024136750854797	0.831522934263763
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	1	0.986178344512403	7	0.199985825990063	1	0.0090502461217206	0.19168018788087
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	1	0.994368441544786	7	0.212363116270308	5	0.00250026913990444	0.49326819062372
KIAA1217	NA	NA	NA	NA	0	NA	NA
AL353583.1	1	0.971419476034662	20	0.106095217714812	31	0.0368465644811288	0.00797396696415813
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	1	0.963492851286741	11	0.199598594559205	5	0.0344350263864415	0.0103687025302538
ENKUR	NA	NA	NA	NA	0	NA	NA
THNSL1	NA	NA	NA	NA	0	NA	NA
GPR158	NA	NA	NA	NA	0	NA	NA
MYO3A	1	0.986316748268441	15	0.127094672714114	28	0.0171130268535309	0.0720148127603681
GAD2	1	0.967509608655533	11	0.175535233631929	9	0.0285832066139504	0.0197089620480928
APBB1IP	NA	NA	NA	NA	0	NA	NA
PDSS1	NA	NA	NA	NA	0	NA	NA
ABI1	1	1.01433606562053	3	0.207819335347677	1	0.0409206298572194	0.00512690685492773
ANKRD26	1	0.986908214093829	11	0.147067656161217	8	0.0122424703535717	0.128573449635966
YME1L1	NA	NA	NA	NA	0	NA	NA
MASTL	NA	NA	NA	NA	0	NA	NA
ACBD5	1	1.00096172609346	14	0.143954467056135	16	0.00709131824575075	0.248030016633929
PTCHD3	NA	NA	NA	NA	0	NA	NA
RAB18	NA	NA	NA	NA	0	NA	NA
