gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	1	0.987635341332201	7	0.179436413940791	3	0.00910283904572916	0.127872471463414
LARP4B	1	1.00512650424181	14	0.153127380581746	14	0.00236572828976309	0.438416288256785
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	1	0.980498685416815	13	0.130317154274328	14	0.0166003236610109	0.0394003507986703
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	0.987805487776412	8	0.172095058133851	6	0.0083955810092114	0.14375739607688
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	1.01072198607682	3	0.184238255701772	1	0.0329234469707937	0.00357763893510335
KLF6	1	0.988248019665825	10	0.135006924490291	13	0.00923482729812269	0.125129337705481
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	1	0.994758024345735	9	0.149477322805711	8	0.00374865016941283	0.329192737244254
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	1	0.998957475597174	6	0.165136300202626	5	0.000439187001844962	0.738602676058095
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.99601725858743	11	0.146501987367873	11	0.00537070330730749	0.242647565083462
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	1	1.00595935354561	4	0.188091479130237	3	0.00332363943043559	0.35827008709633
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	1	1.01552740902859	2	0.218411511217786	1	0.0469917975966853	0.000477505025010929
PFKFB3	1	1.00038426958725	2	0.213825357584675	1	0.00349383131020599	0.346226527889503
AL137145.1	1	0.996574092668443	6	0.182471171612628	3	0.000960042109080572	0.621698109365351
DKFZP667F0711	1	1.00392610389519	7	0.172581770315432	4	8.52423296851464e-05	0.883129620299785
PRKCQ	1	1.00185858151199	9	0.147354240944363	10	0.00161847893849769	0.521656153704174
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	0.995562879389972	7	0.179066988150143	7	0.00329580350817054	0.360294033868313
KIN	1	0.962170403174303	15	0.146123696963414	14	0.0346832713012897	0.00277717327585944
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	1	1.00325238752222	5	0.183570482077818	2	0.0011503217661868	0.589085282042379
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	1	1.00036020417577	3	0.195570024868267	2	0.000615701071937929	0.692746115384311
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	NA	NA	NA	NA	0	NA	NA
PROSER2	1	1.00319905303744	9	0.173095225898434	8	0.000110057474534618	0.867341405751941
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	1	0.9994559820126	13	0.146056196638602	13	0.00620416041000833	0.209098300211786
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	1	0.938173880329433	15	0.131239748793548	27	0.0584299454384901	9.35537977879084e-05
MCM10	1	0.994486216467239	5	0.179589988056823	1	0.00164709504535824	0.517994899605569
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	1	1.00196246946024	2	0.216029168165515	1	0.00645420886321567	0.200126677209766
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	1	0.988260878271161	7	0.192840903362419	3	0.00839316530549198	0.143815293708866
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	1	1.01456977425253	2	0.214058762719366	1	0.0606093138455246	6.85671849359766e-05
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	1	1.00185817151567	5	0.203512906536844	1	0.000438333572426167	0.738847547851791
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	1	0.985182348174392	18	0.106139809541311	35	0.0236982646792584	0.0136730470936395
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	1	0.989660381195438	7	0.184124452037736	1	0.00672016069023549	0.191074162161471
NMT2	1	0.985060043230747	11	0.155731569091348	11	0.0115454415130305	0.0862073123863771
FAM171A1	1	1.00739878184963	5	0.178930451258658	8	0.000161230581701013	0.839778761143331
ITGA8	1	0.986971289190869	13	0.142231277233216	11	0.0122902855150981	0.0766329025004923
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	NA	NA	NA	NA	0	NA	NA
RSU1	1	1.01132556739753	4	0.174305187848841	5	0.00350568716151487	0.345408125626586
CUBN	NA	NA	NA	NA	0	NA	NA
TRDMT1	NA	NA	NA	NA	0	NA	NA
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	1	1.00617190920641	3	0.18100046756888	3	0.00767982278207529	0.16211827369091
STAM	1	1.00347121095736	6	0.173354839390627	3	0.0007456430769438	0.663673901439693
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1L1	NA	NA	NA	NA	0	NA	NA
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	1	0.984820950709582	8	0.166745732239007	7	0.0117103678234616	0.0839817762215782
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	NA	NA	NA	NA	0	NA	NA
ARL5B	1	0.999732021966491	3	0.205813874263318	2	0.00116623619500209	0.586518623882594
C10orf112	1	0.998711412653587	7	0.186763822869362	2	0.000209637212094838	0.817672154528399
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	1	0.947497307554191	29	0.079396700669864	50	0.0614543826567073	6.07817348066961e-05
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	1	0.990512278437453	8	0.161492463880598	7	0.00563790870500529	0.231233456313021
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	1	0.987480920058483	12	0.125461701011887	11	0.0126177656428926	0.0727895267144898
EBLN1	1	0.989359429821566	11	0.147508467262732	4	0.00698623515342631	0.182489658795607
COMMD3	1	1.00099995776767	8	0.142780388968613	3	0.000107417809011354	0.86892745253752
BMI1	1	0.985301446149719	18	0.116899410578663	15	0.0163185076258787	0.0411242999681996
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	1	1.00011913226191	24	0.0720883911409217	46	0.0155686807869523	0.0461058399213442
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	NA	NA	NA	NA	0	NA	NA
KIAA1217	1	0.985559377890432	11	0.146339741446636	11	0.0126831088141011	0.0720475547238402
AL353583.1	1	0.983846317125767	10	0.144537692933263	8	0.0125981523643698	0.0730138218660853
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	1	1.00602236430587	5	0.189394965516984	4	0.00187074467780966	0.490842455638457
ENKUR	1	0.994314190775028	6	0.161005320107313	5	0.00229859376256102	0.444996132599389
THNSL1	NA	NA	NA	NA	0	NA	NA
GPR158	NA	NA	NA	NA	0	NA	NA
MYO3A	NA	NA	NA	NA	0	NA	NA
GAD2	NA	NA	NA	NA	0	NA	NA
APBB1IP	1	0.997042630286169	7	0.163215712265947	7	0.00111900544745706	0.594203560449114
PDSS1	1	1.00016281607577	17	0.107235652675889	32	0.0145241779732338	0.0541232062454381
ABI1	NA	NA	NA	NA	0	NA	NA
ANKRD26	NA	NA	NA	NA	0	NA	NA
YME1L1	NA	NA	NA	NA	0	NA	NA
