gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	0.999008276673764	12	0.104898908662496	9	0.00212382327310621	0.397647880771703
ZMYND11	1	0.987512227873034	14	0.120479506984794	8	0.0112625403088087	0.0509061736453366
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	1	0.998508979456336	7	0.132754499718966	6	0.000818996487840523	0.599529855640621
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	1	0.996778381288291	6	0.140538398972753	3	0.000919607819863427	0.577931406991678
GTPBP4	1	1.00065462465596	2	0.17089491981038	1	0.00470904552696217	0.20756357376272
IDI2	1	0.994221951735565	15	0.10556916360353	19	0.00744848810397449	0.112710244983372
IDI1	1	0.99078723975795	8	0.163718073330607	3	0.00628290917715977	0.145303742543008
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	1	0.996528435730885	5	0.158046632601565	3	0.000868067673103101	0.588793760769
PITRM1	1	1.00377981048371	6	0.178029668752733	2	0.00064400099767012	0.641507192586621
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.996438801616074	6	0.172359186912436	2	0.00115240673201207	0.533347835832283
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	1	0.999613511401333	5	0.187813893733164	2	0.000455937964235261	0.695252159766385
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	1.00650491130951	6	0.168727574232374	3	0.00163178528985406	0.458503683266407
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	1	0.996796265504003	4	0.17139163161019	1	0.000393390263036594	0.715954427196192
CALML3	1	0.99905904246778	4	0.154398091251123	2	3.56641519297075e-05	0.912766222908829
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	1	1.00090842227183	4	0.177539926466719	1	0.000714107540761469	0.623929402221469
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	1	1.0005166181615	2	0.168083418068999	1	0.00594967372365573	0.156466478245587
FBXO18	1	0.943787736931552	22	0.0771389201762435	54	0.0602474547644218	4.81412113176385e-06
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	1.00059296471635	2	0.194841474647652	1	0.00230097700402498	0.378621791060023
AL137145.1	1	1.00699796073056	7	0.141783539817888	5	2.78630574754879e-05	0.922861354427545
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	1	0.994221257899673	8	0.1463947134906	2	0.00288787381961307	0.323889159061024
SFMBT2	1	1.00338484725243	11	0.134672787306824	12	0.00165992770158941	0.454651130072743
ITIH5	1	1.0026582360128	5	0.169974493792636	2	0.000571593260995283	0.660929595539709
ITIH2	1	1.0028041401215	3	0.178550837296123	1	0.0060928471286832	0.151556116669078
KIN	1	1.01366412466223	3	0.166161007349133	3	0.0270488774106732	0.00238426046291312
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	1	1.00202678877887	7	0.14357939356404	8	0.000500920921831409	0.681356970326796
GATA3	1	1.00314288869804	2	0.195091124326111	2	0.00433623423060136	0.226561664554683
CELF2	1	1.00486957904728	4	0.168094554497246	2	0.00349549432268511	0.277703125675955
USP6NL	1	0.985631124522659	13	0.119176417778487	18	0.0134832933538989	0.0325744522991733
ECHDC3	1	0.992655946063624	7	0.159219234874404	3	0.00449100399801214	0.218434097053535
PROSER2	1	1.00849396752635	5	0.152037217615703	2	0.00748330028670875	0.111869903825344
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	1	0.984092692623261	13	0.125981854351138	10	0.0148988725300664	0.0246087722286291
CDC123	1	0.960058122162788	15	0.158909597017149	7	0.0400932721003091	0.000206677353130282
CAMK1D	1	1.00329312872266	7	0.141544969545877	8	0.000169633493864988	0.811161433263713
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	1	0.995153527887158	4	0.175597215898637	1	0.00204034990836018	0.407091076671437
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	1	0.959107714630801	28	0.0648260405569465	83	0.0528454925518165	1.91727457836555e-05
PRPF18	1	1.00509749273867	3	0.161514433690014	2	0.00650732595161328	0.138290837571941
RP11-295P9.3	1	0.994427254597001	7	0.144851192986592	3	0.00318329827004695	0.300293564334305
