gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.95	1.00292542363425	19	0.10002135962943	18	0.00404492592419241	0.273781468883615
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	0.95	0.991152111028624	10	0.12985470241121	10	0.006860970199934	0.153773987637559
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	0.95	0.98917809039711	12	0.144950104729688	17	0.0115688021368326	0.0636927284365913
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.95	1.0077363903597	3	0.200327292569294	5	0.00348223136589467	0.309971518696205
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.95	1.00550634668042	2	0.212513866937392	4	0.0158530889736811	0.0297767507839905
KLF6	0.95	1.00299716028095	7	0.175625827657674	5	8.96280765212024e-07	0.987015594194466
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	0.95	1.00370012929582	8	0.132783993109067	14	0.000484231713073878	0.705193558148593
AKR1CL1	0.95	1.00310271028223	4	0.174198677820522	3	0.00102212036925732	0.582511791944766
AKR1C4	0.95	1.00431370800351	3	0.208261567664442	2	0.0082155660546918	0.118447256922491
UCN3	0.95	0.994031951780781	6	0.17192890790537	2	0.00278398767810406	0.364066482114886
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	0.95	0.996892449062594	6	0.149371192276649	8	0.00174497428588973	0.472513852728235
CALML5	0.95	0.985774965708897	11	0.132969720981947	14	0.0120428632934229	0.0584693228408773
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	0.95	1.00070060451246	3	0.200059038532309	1	0.00172291181551007	0.475329224408077
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	0.95	1.0117122127395	6	0.176329504328297	5	0.0036888836198109	0.296010196513126
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	0.95	0.972160625641427	12	0.133790628588595	21	0.0246033122946778	0.00666445847859959
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	0.95	0.991276526583527	8	0.178915503185015	3	0.00538847786937799	0.20638510834494
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	0.95	1.00002695879053	5	0.176110388372536	2	0.000185692966180023	0.814783635690445
ATP5C1	0.95	0.984261455154964	10	0.157620666760002	8	0.0125548857565312	0.0533325968639635
TAF3	0.95	0.986704544126722	19	0.10923355517034	38	0.0195435182088695	0.0157344189948583
GATA3	0.95	1.00585477282603	2	0.231918609795812	1	0.014762343776519	0.036048535119683
CELF2	0.95	0.999826855312363	4	0.187476538381551	2	0.000524847658544772	0.693677157152234
USP6NL	0.95	0.996782093227263	7	0.168506922896178	5	0.00130138353714905	0.535040232383191
ECHDC3	0.95	0.996094411298215	6	0.167786117415087	3	0.00129108555684557	0.536661271637182
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	0.95	0.992793937011321	8	0.156063934677374	6	0.00393927658579711	0.280150971312692
CDC123	0.95	0.983591582037283	16	0.114562819281146	41	0.0193720731498604	0.0162035877790432
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	0.95	0.999114916334179	10	0.1588183692095	7	0.00183408610431485	0.461410471958157
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	0.95	0.97259189608932	18	0.115737681592045	28	0.0258920732619933	0.00536547960393126
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	0.95	0.999733186494184	5	0.182523792817943	1	0.00010292462445668	0.861550042346745
CDNF	0.95	0.999636419899741	3	0.202244286114467	1	0.00126856672989651	0.540237347875763
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	0.95	1.00241413424094	3	0.189258670903521	1	0.0068745986455839	0.153364475672253
MEIG1	0.95	0.984306189793266	14	0.140461502715477	10	0.0127320207174683	0.0516681808218983
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	0.95	0.992606884370196	6	0.186056842757115	2	0.00413198963446192	0.26866802888072
C10orf111	0.95	0.998873674090521	7	0.175369363696148	3	0.000354466629943956	0.746186313568932
RPP38	0.95	1.00883428593773	7	0.152952294300826	8	0.000122639688591834	0.849015981540318
NMT2	0.95	0.99098088656329	13	0.105657494850877	25	0.0112807549947467	0.0671063775542434
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	0.95	0.984132953035568	11	0.165854548110383	4	0.0130185760908696	0.0490903016254287
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	0.95	0.972027464622699	24	0.0714439487922903	67	0.0400627322094231	0.000509028529637178
C1QL3	NA	NA	NA	NA	0	NA	NA
RSU1	0.95	0.992881467700536	13	0.135263446046836	21	0.00883976880336177	0.10527388096815
CUBN	0.95	0.995856155950533	17	0.101440426862966	37	0.011600172812638	0.0633322414803772
TRDMT1	NA	NA	NA	NA	0	NA	NA
VIM	NA	NA	NA	NA	0	NA	NA
