gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	1.01663205287225	10	0.108449696026194	9	0.000403807137976213	0.73824470616591
ZMYND11	1	0.999853126380102	6	0.166676413762081	2	1.4560567956742e-08	0.99839905337728
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	1.00770193968368	2	0.217703647624974	1	0.0213395468831177	0.0145985619428646
AL359878.1	1	1.00335456416213	8	0.142126802134285	9	3.31601139311145e-05	0.923715495710048
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	1.00285588927686	2	0.194596883330534	1	0.010539126985087	0.0869721247074358
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.993160636120562	8	0.167026462371923	6	0.00391717671112145	0.297530802559561
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	1	1.0063388312823	2	0.189365387140163	2	0.017902776281752	0.0254208608393733
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	1	0.997743312642692	2	0.181789707500442	1	0.000350295513220912	0.755613898083892
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	1	0.963033475214695	15	0.128516007720623	21	0.0335431454534485	0.00213015115446139
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	1	0.996928304552871	5	0.186275542468615	1	0.000485451516688747	0.714055212191137
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	1	0.986825402521478	10	0.165787663029162	10	0.00984418112456419	0.0981462649628805
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	1.0058113997758	5	0.172574183454562	5	0.000187331911374839	0.819956448104333
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	1	0.998216768227559	5	0.175249362251504	1	1.09991597652926e-05	0.956020646303759
SFMBT2	1	0.983969923743692	12	0.131397511835358	17	0.0168112097164438	0.0303769095004219
ITIH5	1	1.00503886689074	5	0.169421093491454	4	0.0010219968732046	0.594919299230019
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	1	1.0062073538283	2	0.198376322991048	3	0.0203401638397243	0.0171391655829127
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	1	0.999264776705748	7	0.15824504232775	5	0.00023415324704244	0.79913842599633
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	0.997564426502134	4	0.199224527743146	1	6.3549453845457e-06	0.966563761540264
ECHDC3	NA	NA	NA	NA	0	NA	NA
PROSER2	1	1.00072591983092	4	0.197461855101707	1	0.00155594260992259	0.511717243078766
UPF2	1	0.996796848542296	19	0.0945230503482061	47	0.0169015593647201	0.0299311104177259
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	1	1.00700682981833	3	0.188739389339928	3	0.0103695957736073	0.089565144541081
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	1	1.00054780277572	2	0.218286377671599	1	0.00990746789030643	0.0970670298628501
OPTN	1	0.996489385620758	4	0.187172994262232	1	0.000239956787973514	0.796718080138733
MCM10	1	0.999670264500061	11	0.124132718788753	19	0.0071943947405082	0.157668541441078
UCMA	1	0.983454469963577	6	0.193734313330594	1	0.021324722215716	0.0146332822508765
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	1	0.984673425583866	7	0.183963613691984	2	0.0145546050208603	0.0440684408210959
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	1	0.998776361355217	5	0.198175899736488	1	0.0001177480523922	0.85680560187398
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	1	0.99463309211383	7	0.171961702584742	6	0.00278910003867167	0.379517202471987
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	1	1.00157540346961	2	0.189518786789553	1	0.0172893485496645	0.0280932808184423
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	1	1.00417541491707	6	0.181818858658805	2	0.000499151514410895	0.710227236637423
OLAH	1	1.01252482769913	4	0.188958473636415	2	0.0234028106436985	0.0105012036891849
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	1	0.98765852182255	9	0.203216397311572	2	0.00881662589797805	0.117628653823743
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	1	0.995666426053181	20	0.0947980498408421	41	0.01603444965355	0.0345056392636265
ITGA8	1	0.976902901081528	13	0.110115791149591	22	0.0205582117999801	0.0165486865150376
FAM188A	1	0.995179151645155	7	0.16864483787048	3	0.00204576755002394	0.451758831035331
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	NA	NA	NA	NA	0	NA	NA
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	1	0.998764761426831	12	0.114580390563055	28	0.0077955934065797	0.141282640310717
TRDMT1	1	1.00218822144279	6	0.141025730467316	7	1.10982407557031e-06	0.986023675854703
VIM	1	0.986551309967987	10	0.143101142117544	13	0.0105491828055426	0.0868208810359129
ST8SIA6	1	1.00275264818039	3	0.213978145788275	2	0.00250649892308214	0.404834789039855
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1L1	NA	NA	NA	NA	0	NA	NA
TMEM236	1	1.00518799807079	7	0.159764534192874	6	0.000175277131397409	0.825750032750864
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	1	0.988207892376861	13	0.114657587445799	15	0.00986672282814652	0.0977603741908138
CACNB2	1	0.983192553567755	10	0.162280997287761	6	0.013291879413317	0.0544169693381613
NSUN6	1	1.00104915280458	8	0.174355408999735	4	0.000382039543767571	0.745146962973861
ARL5B	1	0.999064402541949	3	0.199406608786461	2	0.000653739088504767	0.670670963236321
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	1	1.00102543884319	3	0.17957087885925	1	0.00390440209972507	0.29832144699584
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	1	1.0014228757281	5	0.167512551054513	3	0.000334982933355256	0.760849327816871
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	1	0.962722744843683	17	0.138350631549642	8	0.0339365439873676	0.00200337897813151
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	1	0.9941722039248	5	0.147469833962776	3	0.0022696695627242	0.42798760881742
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	1	1.00260715454766	10	0.13507043836529	6	0.000534851472567296	0.700525038747507
PTF1A	1	0.988430530251766	14	0.119374323147554	15	0.0113578708821285	0.0755356781196841
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	1	1.0088625039361	9	0.127133255899681	8	0.000279663193546612	0.780938069638692
KIAA1217	NA	NA	NA	NA	0	NA	NA
AL353583.1	1	0.983950873070961	11	0.126093974106731	11	0.0125322880466852	0.0618493498642322
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	1	1.00464652814495	2	0.226233039926042	1	0.0116178325689159	0.0722500404231652
ENKUR	1	0.981506611710323	13	0.142025846253008	9	0.015933838259069	0.0350815490115354
THNSL1	1	0.998738927205875	8	0.174477078025252	2	0.000677129711884513	0.665181672973693
GPR158	1	0.996528522995309	7	0.172288414575873	3	0.00125116854085139	0.556291910193448
MYO3A	1	1.00610975394488	9	0.114966754143538	17	0.00196836863649878	0.460453798775804
GAD2	NA	NA	NA	NA	0	NA	NA
APBB1IP	1	0.986848510606389	12	0.137262434113334	11	0.0118856671929964	0.0690237516979751
PDSS1	NA	NA	NA	NA	0	NA	NA
ABI1	1	1.0080990370858	5	0.170849546360538	2	0.00533063871461588	0.224108438657388
ANKRD26	NA	NA	NA	NA	0	NA	NA
YME1L1	NA	NA	NA	NA	0	NA	NA
MASTL	NA	NA	NA	NA	0	NA	NA
ACBD5	NA	NA	NA	NA	0	NA	NA
PTCHD3	1	1.00834525966215	4	0.173294160802649	4	0.00576118144625819	0.206246915094358
RAB18	NA	NA	NA	NA	0	NA	NA
MKX	NA	NA	NA	NA	0	NA	NA
ARMC4	1	1.00440682282877	2	0.190843273422715	3	0.0127922538334788	0.0591916900699438
MPP7	NA	NA	NA	NA	0	NA	NA
WAC	NA	NA	NA	NA	0	NA	NA
BAMBI	1	1.00451504470759	8	0.157631237992023	7	9.96439051189954e-05	0.868164161099545
C10orf126	1	1.00722921040035	5	0.186447195471955	2	0.00230092178007146	0.424821339609826
LYZL1	1	0.979584134858183	11	0.147399103979595	8	0.0170543829003611	0.0291924156422409
SVIL	NA	NA	NA	NA	0	NA	NA
KIAA1462	NA	NA	NA	NA	0	NA	NA
MTPAP	NA	NA	NA	NA	0	NA	NA
MAP3K8	NA	NA	NA	NA	0	NA	NA
LYZL2	NA	NA	NA	NA	0	NA	NA
ZNF438	1	1.00031274376046	5	0.176814162812835	2	0.000124950776152968	0.852539434037899
ZEB1	1	0.960418306437624	16	0.138211053833993	8	0.0382122006150555	0.00102996018832425
ARHGAP12	NA	NA	NA	NA	0	NA	NA
KIF5B	NA	NA	NA	NA	0	NA	NA
EPC1	NA	NA	NA	NA	0	NA	NA
CCDC7	NA	NA	NA	NA	0	NA	NA
