gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	0.05	0.996895948813561	10	2.5995204159907	29	0.000651989157050908	0.671086269901418
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	0.05	0.990269555925089	9	3.07657957305076	10	0.00943792322020622	0.105392433850666
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.05	1.01098946408821	3	3.63042462583998	3	0.046962152510759	0.000265413024318197
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	0.05	1.00738913494824	7	3.07506466927505	13	0.00860919594842107	0.122054610095593
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	0.05	0.97118770699828	19	1.82713628817843	112	0.0254636564490521	0.00757230602939558
AKR1C4	0.05	0.990044964301919	11	2.60301087766322	44	0.0064233050321771	0.181931264471542
UCN3	0.05	0.96128139606933	18	1.95475860805096	125	0.0352671587473447	0.00162823668687381
TUBAL3	0.05	1.00567176089878	6	3.1987450660729	9	0.012595203921659	0.0611947768789909
NET1	0.05	0.998859883858073	11	2.33029970161226	53	0.000620982269803253	0.678556568730307
CALML5	0.05	1.00845185480069	6	3.7389213809749	1	0.0353165062695344	0.00161577344006054
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.05	0.990024679676297	10	2.89756036569235	29	0.00647637947438639	0.180130450294677
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.05	1.00317231453786	7	3.2340611189284	10	0.00731613143446619	0.154184879235734
ANKRD16	0.05	1.00951745706456	8	3.15022334008467	15	0.00844969258583969	0.125582897109806
FBXO18	0.05	1.00426213999403	6	3.94267566135634	1	0.0168894382065783	0.0299905222989694
IL15RA	0.05	0.997164546703796	8	3.59935609665871	7	0.000346509360972694	0.756896549168059
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.05	1.00720883178021	12	2.68517544756382	34	0.0023626659709292	0.41866791201674
DKFZP667F0711	0.05	0.989718887394819	17	1.87453933444057	102	0.00966618966567291	0.101252021185118
PRKCQ	0.05	1.00518561134911	7	3.26988909626563	7	0.00515516905383498	0.231912278466731
SFMBT2	0.05	0.991214366019426	19	2.18927954116472	81	0.0076862793427189	0.144114004500643
ITIH5	0.05	0.999937882003017	17	1.80895729981464	142	0.00509006840597237	0.234890226495836
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	0.05	0.996640024043826	11	2.83360997600629	30	0.00185430903026081	0.473759722069714
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	0.05	1.00915175682654	6	3.71652556900673	4	0.0280416083319557	0.00504192925211866
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	0.05	0.949444487443372	28	1.21820285174242	207	0.0492649716568237	0.000185862094199078
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	0.05	1.01303084188432	9	2.88421010754009	21	0.013973840147099	0.0485446028327764
DHTKD1	0.05	0.998046368370176	9	3.08183892207251	22	0.000432212533337562	0.729541756464906
SEC61A2	0.05	1.00367158336201	4	3.84769116635514	2	0.0193876724746963	0.0199831766248215
NUDT5	0.05	0.992598832295864	20	2.15982771948966	81	0.00555928520175499	0.214404367094674
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	0.05	0.990360305710744	12	2.60014911979234	39	0.0060899214637417	0.193730757796329
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	0.05	1.00255202023632	2	4.15595223880972	1	0.0244305745326076	0.00891900262076024
PHYH	0.05	0.997785156874654	19	1.97095283801336	100	0.00547671478788058	0.217850067523359
AL138764.1	0.05	0.976880802285972	22	1.6740032886576	169	0.0220950363438007	0.0129362166723123
SEPHS1	0.05	1.00523577446212	4	4.21886562055334	1	0.0272530604843676	0.00570846751372737
BEND7	0.05	1.00453767775692	4	3.41221837222735	4	0.0181170723183879	0.0245503647779428
PRPF18	0.05	1.00637127022442	3	3.93137696905227	1	0.0382309189292096	0.00102697007035302
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	0.05	0.999282508352804	8	3.51711499483958	9	0.00032425195191059	0.764596650761214
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	0.05	0.99896334366477	9	2.90585192084449	23	7.19193264134782e-05	0.88785469935257
DCLRE1C	0.05	0.976421384612625	19	2.13348611381547	87	0.0200883021720145	0.0178481779608118
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	0.05	0.991692700156623	11	3.04130080099508	35	0.00487025558073936	0.245292319794645
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	0.05	1.00217865883129	7	3.58219443033032	5	0.00713216570926637	0.159483641370315
RPP38	0.05	0.993033625452542	14	2.56290074021865	39	0.00438586288628782	0.270272976743044
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	0.05	0.992148910931445	12	2.25538893702974	58	0.00518948433535229	0.230360839933514
FAM188A	0.05	1.00444227774654	10	3.01045077424432	15	0.00246630932103922	0.408631694788472
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	0.05	0.995048567520604	13	2.54418231621953	64	0.00392855095431944	0.296829084425697
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	NA	NA	NA	NA	0	NA	NA
TRDMT1	NA	NA	NA	NA	0	NA	NA
VIM	0.05	0.99028130933736	17	2.23235277896796	52	0.00779048863041387	0.141413466044811
ST8SIA6	0.05	0.982617554463204	13	2.62569887694793	25	0.0146858938763946	0.0431177963150114
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	0.05	1.00398335762026	7	3.21230079650107	14	0.0063222168478281	0.1854189330218
TMEM236	0.05	0.968382877420854	16	2.59354332494871	30	0.0320458480335877	0.0026912154058866
MRC1L1	0.05	1.00282123054719	4	3.56946908120441	2	0.0230519174810402	0.0111045928044684
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	0.05	1.00076297663545	14	2.14653702199745	53	0.00123174454133083	0.559374777643248
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	NA	NA	NA	NA	0	NA	NA
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	0.05	1.00354236421735	9	2.81622989849795	28	0.000387197559586943	0.743492122772808
NEBL	NA	NA	NA	NA	0	NA	NA
C10orf113	0.05	0.992662735650475	27	1.28577173226151	138	0.0145777639241782	0.0438991710911392
CASC10	0.05	0.95444944013244	27	1.17908422118089	162	0.0449078520705213	0.000364761192513115
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	0.05	1.00391689373633	6	3.23927629552856	6	0.00928650405266738	0.108240594660641
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	0.05	0.999602439556623	14	2.32041895117827	31	0.000382774699249337	0.744910352339314
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	0.05	0.999778381238679	11	2.62250202393456	11	6.29620252891158e-05	0.895027514133484
SPAG6	0.05	1.00201397756825	8	3.01835962710061	5	0.00210873864801985	0.444872309202955
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	0.05	0.987592613879634	14	2.34788544386256	30	0.00886005234251524	0.116724595445715
PTF1A	0.05	0.991918917256979	9	2.82944199410616	21	0.00473103493688542	0.252170550960202
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	0.05	0.998600966728332	10	2.85774162964025	32	0.000462144665454868	0.720710717534276
KIAA1217	NA	NA	NA	NA	0	NA	NA
AL353583.1	0.05	1.00085335691635	7	3.28719390906908	6	0.00250148859328406	0.405305325229365
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	NA	NA	NA	NA	0	NA	NA
