gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.95	0.999005428488462	12	0.110419903855259	9	0.00210520667282635	0.399726226222469
ZMYND11	0.95	0.987532291528934	14	0.126820533668204	8	0.0112057235214771	0.0514974196921922
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	0.95	0.998448779469919	7	0.139741578651543	6	0.00082618242843789	0.597932385295745
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	0.95	0.996795563926102	6	0.147935156813424	3	0.000900565333172814	0.581897461714193
GTPBP4	0.95	1.00064659064826	2	0.179889389274085	1	0.00476566671107948	0.204845978627946
IDI2	0.95	0.994252291668112	15	0.111125435372136	19	0.00738001198647675	0.114383491264707
IDI1	0.95	0.990776532054879	8	0.172334814032218	3	0.00629496286459446	0.144917103812318
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	0.95	0.996547214388235	5	0.1663648764227	3	0.000848907381430291	0.592938233499958
PITRM1	0.95	1.00370594333402	6	0.187399651318667	2	0.000645369346100657	0.641153184276557
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.95	0.996451708990279	6	0.181430723065722	2	0.00113201050715078	0.536994945924423
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	0.95	0.999595051110374	5	0.197698835508594	2	0.000440183838087608	0.700305121712931
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.95	1.00649063347705	6	0.177607972876183	3	0.00167048353820361	0.453219182421481
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	0.95	0.996830034517139	4	0.1804122438002	1	0.000369125681197356	0.72448712797012
CALML3	0.95	0.999094558275685	4	0.16252430658013	2	4.50828952330216e-05	0.901972789286321
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	0.95	1.00092642367605	4	0.186884133122862	1	0.000750030369058352	0.615334069574749
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	0.95	1.00051389954071	2	0.176929913756841	1	0.00600755899194321	0.154459884113958
FBXO18	0.95	0.943736675071039	22	0.0811988633434142	56	0.0601976174101826	4.85917911709748e-06
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.95	1.00059359733031	2	0.205096289102792	1	0.00235568941764094	0.373006030905848
AL137145.1	0.95	1.00691391656762	7	0.149245831387251	5	2.99494813027993e-05	0.920034667226292
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	0.95	0.994265244274983	8	0.154099698411158	2	0.00284349792369451	0.327640446764367
SFMBT2	0.95	1.00332307818928	11	0.141760828744026	13	0.00164032305306616	0.457329495564476
ITIH5	0.95	1.0026612677335	5	0.178920519781722	2	0.000600059241576054	0.65312674645611
ITIH2	0.95	1.00283079055762	3	0.187948249785393	1	0.00623970705679063	0.146699054522281
KIN	0.95	1.01364009323111	3	0.174906323525403	4	0.0270828965877816	0.00236898863727602
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	0.95	1.0019987546099	7	0.151136203751621	8	0.000485254241309996	0.686110924163691
GATA3	0.95	1.00312377084013	2	0.205359078238011	2	0.00436643982868073	0.224947473572715
CELF2	0.95	1.00484817172789	4	0.17694163631289	2	0.00355520303015165	0.273629829040461
USP6NL	0.95	0.985591017560895	13	0.12544886081946	18	0.0134609323296941	0.0327198293844027
ECHDC3	0.95	0.992702973663583	7	0.167599194604636	3	0.00444022478795639	0.221061806843138
PROSER2	0.95	1.00843674513839	5	0.160039176437582	2	0.0075455265252714	0.110384863500551
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	0.95	0.984160324513389	13	0.132612478264356	10	0.014792223485635	0.025131824367928
CDC123	0.95	0.960147026436627	15	0.167273260018051	7	0.0400768753996157	0.000207310716426774
CAMK1D	0.95	1.00329172650278	7	0.148994704785134	8	0.000159575677842124	0.816743090067782
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	0.95	0.995211982720529	4	0.184839174630145	1	0.0019687165236208	0.415458170339868
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	0.95	0.958466680638138	28	0.0682379374283648	88	0.0530784431638554	1.83575506107397e-05
PRPF18	0.95	1.0050743105208	3	0.17001519335791	2	0.00658686597864202	0.135896736870511
RP11-295P9.3	0.95	0.994464069632077	7	0.152474939985886	4	0.00314170321639574	0.303477876049388
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	0.95	0.999400157185948	7	0.144659802583307	6	0.000917507277670102	0.578366248100617
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	0.95	1.00952834723934	6	0.175628517668831	4	0.00279661528215855	0.3316663220547
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	0.95	0.986778304744764	16	0.102930398229988	23	0.0161884528940014	0.0191036133183382
C1QL3	0.95	1.00104234252479	7	0.15545772486211	1	3.58707432614444e-06	0.972284925497716
RSU1	0.95	1.00185186595516	3	0.175672364743318	1	0.00412858310702174	0.238042985574737
CUBN	NA	NA	NA	NA	0	NA	NA
TRDMT1	0.95	0.998306620574929	6	0.152248456960302	4	0.000459443424073267	0.69414155212916
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1L1	NA	NA	NA	NA	0	NA	NA
TMEM236	0.95	0.995693996472816	10	0.154711442750954	6	0.00324753270882127	0.295459821397498
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	NA	NA	NA	NA	0	NA	NA
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	0.95	0.992192727943456	14	0.118718813418108	17	0.00920275098119839	0.0777618625566735
ARL5B	0.95	0.986346546532307	10	0.148371414459299	5	0.0117461720606348	0.0461531948570361
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	NA	NA	NA	NA	0	NA	NA
C10orf113	0.95	0.979440929482064	12	0.124051556646718	10	0.0177613324891279	0.0140613681993713
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	0.95	1.00050323194821	11	0.123519800669934	8	0.00131065262087454	0.506483896293948
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	0.95	1.00767817298323	3	0.142629529433479	1	0.0298269599605126	0.00141238833295338
COMMD3	0.95	0.998170116473853	14	0.101245747727899	22	0.00625686161585927	0.146143215257877
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	0.95	1.00607097618267	14	0.107462959888672	16	0.0024074276597517	0.367801955730919
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	0.95	0.998609905803145	7	0.144571601715299	7	0.00068785800230665	0.630381230548625
MSRB2	0.95	0.98561493700444	24	0.0744118808456066	50	0.0240720229984301	0.0041905227805651
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	0.95	0.997169496608455	8	0.140916878447642	5	0.0029845525604704	0.315909908012516
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	NA	NA	NA	NA	0	NA	NA
KIAA1217	0.95	0.985008003943017	15	0.124863555178716	13	0.0136187756656142	0.0317078628758839
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	NA	NA	NA	NA	0	NA	NA
ENKUR	NA	NA	NA	NA	0	NA	NA
THNSL1	NA	NA	NA	NA	0	NA	NA
GPR158	0.95	0.998252359481182	4	0.169398838979157	1	3.11838753682585e-05	0.918409001522246
MYO3A	NA	NA	NA	NA	0	NA	NA
GAD2	NA	NA	NA	NA	0	NA	NA
APBB1IP	NA	NA	NA	NA	0	NA	NA
PDSS1	NA	NA	NA	NA	0	NA	NA
ABI1	NA	NA	NA	NA	0	NA	NA
ANKRD26	0.95	1.00295652408007	5	0.150181450684053	3	0.00142983982683835	0.487749978701486
YME1L1	NA	NA	NA	NA	0	NA	NA
MASTL	0.95	1.00830450052484	14	0.0985834958791517	22	0.00521337933578684	0.184762515043686
ACBD5	NA	NA	NA	NA	0	NA	NA
PTCHD3	0.95	0.966550576805915	15	0.11202193519811	18	0.0306230988708789	0.0012160473422263
RAB18	0.95	0.985113845869188	11	0.13255037849031	10	0.0119868584455916	0.0439636239555421
