gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	1	1.00183263159573	5	0.143325822617062	1	0.00101341244004042	0.546572699405036
DIP2C	1	0.989601823022306	14	0.113658024309645	13	0.0102862758480845	0.0541933014136264
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.997220876973599	4	0.168992675442935	1	0.000283824425387232	0.749721043931988
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	1	1.00033411467414	5	0.191643535559677	1	0.000169532700804595	0.80526312281272
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	1	1.00083205703913	5	0.166965777352696	1	0.000129507476845132	0.829393370187379
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	1	1.00301871482352	3	0.165618945673904	1	0.00482877205415237	0.187734112405693
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	1.00671200375319	10	0.109512797286957	25	0.00188590011452838	0.410713521032167
NET1	1	1.00715725168711	10	0.116515551861138	18	0.000422049445718941	0.697261105773195
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	0.996234110587897	9	0.133197111513126	8	0.00255853160995571	0.337892764208524
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.979027193314389	16	0.0885023399248623	43	0.0230586098299623	0.0038286610298628
ANKRD16	1	0.995728590109325	6	0.164830171816914	3	0.0020959694548505	0.385782318560928
FBXO18	1	1.00144475260038	6	0.160903081609773	1	0.000278400773962309	0.752044939062764
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	1	0.997871722468762	3	0.211202063345443	1	2.66828885359025e-05	0.922086591107888
PFKFB3	1	0.991546578875797	6	0.157251892079174	3	0.0057987571514153	0.148761119802226
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	1	0.993901402714303	23	0.0719434786628658	59	0.0209331299345531	0.00588816519835176
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	1.00030693410263	5	0.14850282237114	4	0.000190062801089697	0.794058446083726
KIN	1	0.998274534286689	4	0.170358645827594	1	7.72512657805254e-06	0.958030086927784
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	1	0.981621672480527	10	0.133098007273736	11	0.0156746470494919	0.0173177385388093
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	1	0.984041994801033	8	0.155232934858963	2	0.0169707478259395	0.0132438035855238
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	1	0.987366033999724	16	0.0981612501678981	30	0.0146335342609376	0.0215111335750184
PROSER2	1	0.999233108655995	10	0.155823403085014	3	0.00116945931330021	0.517188153833342
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	1.00388018336685	3	0.176729285480982	2	0.00449956780383504	0.20354729511852
NUDT5	1	0.997668296513262	14	0.112245134860158	20	0.00467676833227931	0.19485047680494
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	1	0.975767807866421	13	0.120007676529125	13	0.0215477099760228	0.00519773709552796
OPTN	1	0.993566656894781	8	0.132178871367866	11	0.00491261586920899	0.183938019084117
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	1	0.997318087849175	5	0.155885136342552	4	0.000774979379958314	0.59805584463391
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	1	1.00653964016342	6	0.144303650271571	9	0.000450521186382563	0.68773492166293
FAM107B	1	0.991336984078631	10	0.120630861516781	13	0.00788828478318654	0.0919918169341969
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	1	0.996697054332814	8	0.126477941382318	11	0.00178212060411489	0.423906059466644
