gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	1	1.00445190735934	9	0.132246434707651	14	0.000492461293744814	0.712089025427608
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	1.00333539685969	2	0.167248867059293	2	0.0104908877284024	0.087701619281754
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	1	0.981231032676757	8	0.161153661271944	4	0.0168891821741007	0.0299917785592322
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	1.01103840108041	3	0.181521231291999	1	0.0323121088588715	0.00258153452174122
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	1	0.976300315373863	16	0.10503813644391	33	0.0246666036490696	0.00859127511023809
AKR1C4	1	1.00309747835607	5	0.172051359454384	12	8.41999507016387e-05	0.878725237639059
UCN3	1	0.983009607100422	15	0.112374869196027	26	0.0201713132179815	0.0176112301184372
TUBAL3	1	1.0040443636181	6	0.159937253303645	5	0.0001803083129227	0.823307365589271
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	1	1.00337084671606	8	0.170338295519411	1	2.22270764071273e-05	0.93751339933247
CALML3	1	1.00833985157863	2	0.218042268784137	1	0.0213808432098683	0.014502287029398
ASB13	1	0.990485744522014	8	0.159003446214448	8	0.00734804388120428	0.153286100104352
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	1	1.00991307744408	7	0.165011179793919	7	0.00141295483844393	0.531795739078008
FBXO18	1	0.992731852968282	7	0.188173748383294	1	0.00393761365112473	0.296271487918659
IL15RA	1	0.995348088694925	6	0.197514443632642	2	0.00226013022102175	0.428961138631073
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	1.00244510893753	5	0.185933144106629	2	0.00217873468630963	0.437405829785233
DKFZP667F0711	1	0.980735259459327	16	0.0981898467991899	39	0.0248220006222918	0.00838221660920074
PRKCQ	1	1.00626478657759	2	0.206306603149266	2	0.0270511175003022	0.00589309020537318
SFMBT2	1	1.00070968662366	7	0.191291408687057	2	0.000172825497395494	0.826953635822474
ITIH5	1	0.993788080478815	19	0.082412725949717	67	0.0217792921844015	0.0136060733971722
ITIH2	1	1.00706214710257	3	0.203610125888791	2	0.0150218157762655	0.0407817394827506
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	1	0.982397762157882	11	0.141680498800315	18	0.0165994070518257	0.0314491566536446
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	1	1.00544589466919	6	0.185826278450336	1	0.000768270622595437	0.644808066212911
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	1	0.939266502667509	25	0.0700318625302161	66	0.0674855206784065	1.10573892576758e-05
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	1	1.01431456770407	10	0.137655915342043	11	0.000311279056732234	0.769218193602428
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	1.00465644190934	3	0.201545093887164	1	0.00744370989987401	0.150626969479521
NUDT5	1	0.958953534476343	17	0.124163851466859	20	0.037615114115467	0.00113007255142547
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	1	0.98651948004164	12	0.130007455989617	17	0.0122979590104219	0.0643533127630508
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	1	1.0026123734997	3	0.198352889775806	1	0.00624912810747188	0.187988747286928
PHYH	1	1.00011080669399	19	0.0985476419006678	39	0.0158027328016697	0.035847043792944
AL138764.1	1	0.982484457680297	12	0.133274331626295	17	0.0155513382051307	0.0373638852346479
SEPHS1	1	1.00314791900761	4	0.210943281027667	1	0.00189417952668913	0.469039321001141
BEND7	1	1.00322287779205	5	0.162856389050139	3	0.000456882651979568	0.722239396468413
PRPF18	1	1.00415371717387	3	0.196568848452613	1	0.0099098748982168	0.0970262378043896
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	1	0.986365023860684	11	0.152950362942689	8	0.0101189935178052	0.093552171289424
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	1	1.00254063324298	4	0.183338462374412	3	0.00155366234952217	0.512026975604259
DCLRE1C	1	0.986987127850455	14	0.134607706882191	16	0.0112931519647354	0.07637822822748
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	1	0.987519000171503	10	0.159305731404713	4	0.00920794992891212	0.109751211369722
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	1	0.996867343291857	9	0.163198107504066	6	0.00216677965346494	0.43866741145175
RPP38	1	0.995013158775477	7	0.177466315318204	3	0.00216568962071746	0.438782716073029
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	1	0.999883042825148	10	0.150522538712216	8	0.00122725727670657	0.560091597535338
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	1	1.00108863048517	9	0.15322383034751	11	0.00102292795441311	0.594751483059263
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	NA	NA	NA	NA	0	NA	NA
TRDMT1	NA	NA	NA	NA	0	NA	NA
VIM	1	0.991664900860979	10	0.154577746986798	6	0.00655743306648866	0.177419743487207
ST8SIA6	1	0.960893522699986	12	0.137536175278639	7	0.0383117362149346	0.00101415986941353
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	1	0.949930632533087	15	0.135851842137938	10	0.0485376700044554	0.000207996058184158
MRC1L1	1	1.00271200601193	2	0.195874395504374	2	0.0214406709707602	0.0143639601175902
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	NA	NA	NA	NA	0	NA	NA
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	NA	NA	NA	NA	0	NA	NA
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	NA	NA	NA	NA	0	NA	NA
C10orf113	1	0.992566086641836	8	0.155586625565986	4	0.00420122741371052	0.280619122321525
CASC10	1	0.970236508987205	21	0.0779339974743022	40	0.0392972446176527	0.000870273006635633
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	1	1.00292495389543	4	0.177755086771676	2	0.00190985914914374	0.467203631254352
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	1	1.00022583536973	13	0.121545372316301	11	0.00251538978358748	0.404001774317577
COMMD3	1	1.00525034634919	2	0.174402393801344	1	0.0165730094331434	0.0315855176261717
BMI1	1	0.995287941687442	8	0.150762002373174	1	0.00183539648589436	0.476025728254765
SPAG6	1	0.999283349127727	7	0.158104054646747	1	4.45103159006905e-05	0.911664952194904
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	1	0.985590947623037	10	0.141401816462726	7	0.0109081201931086	0.0816033384370367
PTF1A	1	0.990274626618285	6	0.162658536289784	4	0.00704777343245014	0.161983159973004
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	1	0.99437607924177	7	0.16428542148591	3	0.00288879657975772	0.371120323064066
KIAA1217	NA	NA	NA	NA	0	NA	NA
AL353583.1	1	1.00177893660826	3	0.197971835049541	2	0.00215702477124018	0.439700942697249
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	NA	NA	NA	NA	0	NA	NA
ENKUR	1	0.979800282378747	15	0.121164293505483	14	0.0173380003235611	0.0278710962813364
THNSL1	NA	NA	NA	NA	0	NA	NA
GPR158	1	0.982466056909362	15	0.121197063123144	27	0.0176513998650913	0.0264827262976233
MYO3A	1	0.994344872638122	10	0.121096013745979	15	0.00468530194674787	0.254481286106545
GAD2	NA	NA	NA	NA	0	NA	NA
