gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	0.999681191252929	8	0.142291803852714	3	0.000138755408957711	0.838194701112974
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	1	1.00318479636221	3	0.181428926040417	1	0.00630062498732326	0.168153121872117
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.996604108326792	7	0.158693991512447	4	0.00128622547125751	0.534007343943106
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	1	1.00991768636196	7	0.146903538893077	6	0.00117610876993402	0.552065867983344
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	1	0.983864192126799	8	0.167642291319	2	0.0150026319291016	0.0330639093232282
WDR37	1	0.993693741017951	8	0.136494447820261	12	0.00387312872205927	0.280196370209154
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	1	1.00182514495047	5	0.168309881887749	1	0.000936005196259788	0.595783958316828
PITRM1	1	0.999859889940408	5	0.212490210140376	1	4.25354989480229e-05	0.909984237073755
KLF6	1	0.996700071783803	13	0.122354606631471	20	0.00804988710517416	0.11912512017358
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	1	0.969768052754384	19	0.0866670279143024	53	0.0380103549706099	0.000643776805005881
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	1	0.992724633574316	10	0.15762095607467	6	0.0054309014797255	0.200815016209315
TUBAL3	1	0.998363410915203	5	0.167522733654299	4	3.58843084502535e-05	0.917293657170002
NET1	1	0.991514083450515	7	0.17920471361885	1	0.00534216555130174	0.204544179176511
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	1	0.964127791050825	19	0.109782152751408	26	0.0337507908765093	0.00131790420770916
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	1	0.957388311184435	21	0.0817735283999187	57	0.055582413865298	3.39137450107509e-05
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	0.989575871055277	11	0.127461268393386	17	0.0100594904453099	0.0813264304124443
DKFZP667F0711	1	0.988316066528862	11	0.131840454788449	15	0.0104052662756805	0.0762453604344561
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	0.989421097440317	11	0.126909430848414	18	0.00955296129237582	0.0894373023210843
KIN	1	0.997389397912552	7	0.141347628163726	10	0.00226988426238489	0.408597899794573
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	1	1.00139661528583	6	0.160913029104452	6	2.18584611354002e-07	0.993533524127729
GATA3	1	0.998971399210433	8	0.153904921004335	5	0.000800200025206831	0.623804306286646
CELF2	NA	NA	NA	NA	0	NA	NA
