gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.05	1.00542748654731	11	2.48129780094782	35	5.31975451147108e-05	0.907550243833134
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	0.05	0.987472220353403	11	2.97942526432492	21	0.00956752066775312	0.118498738997054
LARP4B	0.05	0.995396829805	17	2.66364773068894	40	0.00345071696626227	0.349224867208738
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	0.05	0.99700695415044	10	2.99666119494469	16	0.000270089347191133	0.793567260622821
IDI1	0.05	1.00099472884454	11	2.60468843511679	26	0.000128428623140768	0.856806681793151
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.05	0.990900131431563	9	3.28546144281591	15	0.00556905518124491	0.234111590043015
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.05	1.00787139064045	8	2.92011333732422	23	0.0094388467781225	0.121016156348545
KLF6	0.05	0.999116051112697	8	2.96339865922218	22	5.8234085210758e-07	0.990305900511271
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	0.05	0.99625558475974	13	2.48197398861272	72	0.00240259265028935	0.434866326257245
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	0.05	0.997837931446113	7	3.15261200994524	18	3.8342802182261e-08	0.997512456461351
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.05	0.995371285873125	20	1.92777049935374	117	0.0077193869359875	0.16103682202634
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	0.05	1.00861082829283	4	3.76182958260475	5	0.0316781766614559	0.00428143842736502
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.05	1.00764328120583	11	3.06619141294729	17	0.00523649577195335	0.248637491854666
RBM17	0.05	1.01523594993954	5	3.79926388083824	7	0.045926499898599	0.000555849484794704
PFKFB3	0.05	0.998655459920111	14	2.44717462198308	92	0.00257182794242429	0.419113477266474
AL137145.1	0.05	0.996661358579107	7	3.48355150496222	9	7.98288721394188e-05	0.886875865051907
DKFZP667F0711	0.05	1.00929447990568	7	3.45163540630864	10	0.0187652747276949	0.0284230735154163
PRKCQ	0.05	1.0055604587202	2	4.08137760101875	2	0.0333816338465672	0.00334914837902472
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.05	0.997048031717807	12	2.83815051537463	68	0.0025577431817414	0.420391668593098
KIN	0.05	0.954173443204857	20	2.31601061775512	80	0.046787796329072	0.000491599261413674
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	0.05	1.00542187724222	5	3.67140964155636	2	0.0250426866484588	0.0112258978958256
GATA3	0.05	1.00191359826871	6	3.40467747003544	13	0.00328883099995056	0.360803460111659
CELF2	0.05	0.98452261941526	23	1.54273695425958	202	0.0201249143844545	0.0231965248462011
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	NA	NA	NA	NA	0	NA	NA
PROSER2	0.05	1.00135958827217	13	2.87413395001306	26	3.1715382796612e-06	0.977379270966718
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	0.05	0.997437125227092	14	2.70735530175756	36	0.00102224296195449	0.610620962116973
CDC123	0.05	0.998659845660032	14	2.7883543417455	47	0.00241021019980079	0.434138225826864
CAMK1D	0.05	1.0077823777672	4	4.09640436766312	7	0.0217619648900973	0.0181916243489653
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	0.05	0.941908781720711	20	2.08010513006302	121	0.0561905222162907	0.000128728191286365
MCM10	0.05	0.99495719109752	11	2.7170647992192	36	0.00178632304993677	0.500800878889709
