gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	0.05	1.00202186820618	6	2.73622885557809	5	0.00291161592478287	0.306583182827796
DIP2C	0.05	0.987173316467315	16	2.07121917369234	55	0.0102957332430156	0.0540821821185935
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.05	0.998690096537666	5	3.22623395062415	2	0.000740871090538246	0.606230263845517
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	0.05	1.00187859586285	7	3.49236904104544	8	0.00215162509614061	0.379540542595088
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	0.05	1.00231558361155	5	3.33931554705391	1	0.0120209629389853	0.0373224422419652
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	0.05	1.00347028303991	3	3.31237891347807	1	0.0190042258553519	0.00872335205739771
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	0.05	1.00289223963797	10	2.27872309265686	37	3.5081049202514e-05	0.910707419497397
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.05	1.00148493128077	13	1.90497292428428	86	0.00179469830816085	0.422273912066408
NET1	0.05	1.00716243415008	12	2.12329262728224	63	0.000349004339637402	0.723525232328421
CALML5	0.05	1.00036228810643	9	2.31514903277329	35	0.000146460582219753	0.818751834891009
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.05	0.997705468110686	14	2.11112865968584	66	0.00151835815875378	0.460472586017994
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.05	0.988834827178904	16	1.77004679849725	111	0.00933541595042314	0.0666978336181152
ANKRD16	0.05	0.994118243627982	9	2.86721755078157	29	0.00313002207844702	0.289085763161145
FBXO18	0.05	0.999331678462065	8	2.93217790614072	9	2.81639721970455e-08	0.997464689947706
IL15RA	0.05	0.999522052214687	6	3.14719246761905	8	0.000420401106654417	0.697823814311103
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	0.05	0.994922150299206	20	1.91555139587532	133	0.00715874351533547	0.108519900112507
PFKFB3	0.05	0.996661521865155	8	2.86564134782471	10	0.000703555519756212	0.615450629489022
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	0.05	0.99072019795834	20	1.65435035731755	123	0.00905572165044584	0.0709340923995164
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	0.05	1.00126483368569	4	3.02436398951544	6	0.00709598284833782	0.110086219517929
ITIH5	0.05	0.997937977466862	12	2.25385466240127	56	0.00153244355705094	0.45839818869148
