gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.95	1.0166689276688	10	0.114157574764415	9	0.000427834136354931	0.730861969632381
ZMYND11	0.95	0.999876346095504	6	0.175448856591664	2	5.32404520457453e-07	0.990319489642281
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.95	1.00766356584922	16	0.119485118215198	22	0.00653518982679454	0.178158934826357
AL359878.1	0.95	1.00340517283883	8	0.149607160141353	9	2.53981863055147e-05	0.933214218376272
GTPBP4	0.95	1.00630181580754	7	0.165405832088419	8	0.000211903190918813	0.808726477627253
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.95	1.00286252901183	2	0.204838824558457	1	0.0106845908581144	0.0848116278746406
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.95	0.993074310420239	9	0.167826159872426	9	0.00445598917213139	0.266468394036254
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	NA	NA	NA	NA	0	NA	NA
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	0.95	1.00631978605321	2	0.19933198646333	2	0.018106566626263	0.0245923146953313
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	0.95	0.997736269655329	2	0.19135758684257	1	0.000356962440392203	0.753373660564046
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	0.95	0.963306202859664	15	0.135280008126972	22	0.0332680741367726	0.00222356580974206
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	0.95	0.997034991558706	5	0.196079518388015	1	0.000432908975135758	0.729332449764249
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.95	0.986946701586972	10	0.174513329504381	10	0.0097219426788183	0.100267861424926
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.95	1.0058156594017	5	0.181657035215329	5	0.000205200328653741	0.811718541477605
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	0.95	0.998312633310867	5	0.18447301289632	1	3.92281365380781e-06	0.97372705572176
SFMBT2	0.95	0.983861160656857	12	0.138313170353008	18	0.0167524243740114	0.0306706547872523
ITIH5	0.95	1.00498818946579	5	0.178337993148899	4	0.00104197154213171	0.591340395864272
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	0.95	1.00619882587689	2	0.20881718209584	5	0.0204253480004322	0.016905955657146
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	0.95	0.999236209484583	7	0.166573728766052	5	0.00022920410385939	0.801227794447145
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.95	0.997583522073613	4	0.209710029203312	1	3.89636463260156e-06	0.973815744606071
ECHDC3	NA	NA	NA	NA	0	NA	NA
PROSER2	0.95	1.00038509183587	4	0.207854584317586	1	0.00124810932539614	0.556775309936665
UPF2	0.95	0.996651642267865	18	0.10423561741738	47	0.015057022454735	0.0405446784920008
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	0.95	1.00701827677468	3	0.198673041410451	3	0.010576803291001	0.0864069128755238
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	0.95	0.996500330258012	4	0.19702420448656	1	0.000230181120081584	0.800813443129965
MCM10	0.95	0.999416016123168	11	0.130666019777635	20	0.00722111228622344	0.156896426297796
UCMA	0.95	0.983576796353286	6	0.203930856137467	1	0.021231310317518	0.0148540109147521
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	0.95	0.98476921156519	7	0.193645909149457	2	0.0144974485435415	0.0444891299480159
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	0.95	0.998833050543633	5	0.208606210248935	1	0.00010028361480272	0.867745511668938
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	0.95	0.994532242839165	7	0.181012318510255	6	0.00283751612950881	0.375406546527779
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	0.95	1.00157618335898	2	0.199493459778477	1	0.0173403402462138	0.0278604561620674
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	0.95	1.00421835927292	6	0.191388272272427	2	0.000544672387125544	0.697921446819548
OLAH	0.95	1.01254500838762	4	0.198903656459384	3	0.0235163153948171	0.0103132611031916
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	0.95	0.987787354527948	9	0.213911997170076	2	0.00868612369817004	0.120392148881096
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	0.95	0.995587655832021	20	0.099787420885097	41	0.0159223125016269	0.0351481585791303
ITGA8	0.95	0.977092491197819	14	0.110643008943094	29	0.0212333284532317	0.0148492063126069
FAM188A	0.95	0.995243078382151	7	0.177520881968926	3	0.00198831755894996	0.458187725761037
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	NA	NA	NA	NA	0	NA	NA
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	0.95	0.998788177381103	12	0.120610937434795	29	0.00771800592818264	0.143285759507148
TRDMT1	0.95	1.00209533094874	6	0.148448137334017	7	1.50388668635227e-06	0.983730822128097
VIM	0.95	0.986438794890413	10	0.150632781176362	14	0.0106144746968193	0.0858457259706471
ST8SIA6	0.95	1.00274677291037	3	0.225240153461342	2	0.00258013028646098	0.398010292933353
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1L1	NA	NA	NA	NA	0	NA	NA
TMEM236	0.95	1.00519055321288	7	0.168173193887236	6	0.000189900210298507	0.818747653630995
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	0.95	0.988324783427362	13	0.120692197311368	16	0.00974565760544996	0.0998523978971671
CACNB2	0.95	0.983442673016406	10	0.17082210240817	6	0.0130375992106378	0.0567940559275915
NSUN6	0.95	1.00104959616313	8	0.183532009473405	4	0.000369570280286186	0.749199136149183
ARL5B	0.95	0.999086434583738	3	0.209901693459432	2	0.000694856358103453	0.661096066290966
C10orf112	NA	NA	NA	NA	0	NA	NA
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	0.95	1.00097577561644	3	0.189021977746579	1	0.0039237803779293	0.297123140533692
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	0.95	1.00142149149542	5	0.176329001110014	3	0.000351534936793725	0.755195665309384
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	0.95	0.962935513205005	17	0.145632243736466	8	0.033726884419357	0.00206996567626268
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	0.95	0.99419293215568	5	0.155231404171343	3	0.00224851503200979	0.430151028708403
SPAG6	NA	NA	NA	NA	0	NA	NA
